id;ayah_id;edition_id;data;is_audio;created_at;updated_at
1;23851;28744;about sleek please;true;2024-01-09T07:22:54;2024-01-09T02:26:08
2;31461;6141;clearly salami infuriate;false;2024-01-09T07:49:26;2024-01-09T07:01:29
3;12088;9567;exposure;true;2024-01-09T00:06:51;2024-01-09T13:28:17
4;25175;24109;broadside;false;2024-01-09T01:21:02;2024-01-08T21:11:57
5;19977;27181;into;true;2024-01-09T00:16:13;2024-01-09T09:12:37
6;18364;8792;phooey hence;false;2024-01-09T00:15:42;2024-01-09T15:57:45
7;24322;140;ninja upward;false;2024-01-09T04:08:45;2024-01-08T20:49:36
8;2091;12777;upgrade begrudge elegantly;true;2024-01-09T18:18:34;2024-01-09T08:23:13
9;22072;29145;gah obvious;true;2024-01-09T08:24:32;2024-01-08T20:12:21
10;16044;1773;gadzooks limply clamp;true;2024-01-08T22:31:28;2024-01-09T10:42:22
